timesteps,ep_rew_mean,ep_len_mean
30771,0.9,26.2
30793,0.8927,27.7
30799,0.8927,27.5
30805,0.9854,18.1
30816,0.9854,14.8
30821,0.9854,13.1
30830,1.0,13.1
30837,1.0146,13.2
30859,1.0146,10.3
30872,1.022,10.8
30890,1.0073,11.9
30900,1.0146,10.7
30905,1.0,10.6
30992,1.0073,18.7
30997,1.0,18.1
31097,0.9146,27.6
31146,0.9073,31.6
31154,0.8927,31.7
31160,0.9,30.1
31202,0.8927,33.0
31210,0.9073,32.0
31310,0.8,41.0
31316,0.8,41.1
31354,0.8,36.2
31366,0.8073,36.9
31377,0.9073,28.0
31387,0.9146,24.1
31392,0.9146,23.8
31393,0.6896,23.3
31400,0.6823,19.8
31447,0.675,23.7
31547,0.6823,23.7
31557,0.6896,24.1
31564,0.697,21.0
31570,0.7043,20.4
31577,0.7043,20.0
31586,0.7043,19.9
31593,0.7043,20.1
31601,0.9146,20.8
31701,0.822,30.1
31767,0.822,32.0
31867,0.8146,32.0
31875,0.8073,31.8
31888,0.8,32.4
31988,0.7,41.8
32060,0.6927,48.3
32066,0.6927,48.0
32103,0.7,51.0
32167,0.7073,56.6
32202,0.8073,50.1
32299,0.8073,53.2
32313,0.6896,44.6
32358,0.4793,48.3
32365,0.4866,47.7
32372,0.572,38.4
32377,0.5646,31.7
32383,0.5646,31.7
32412,0.5646,30.9
32433,0.572,26.6
32443,0.572,24.1
32490,0.5646,19.1
32574,0.7823,26.1
32620,1.0,26.2
32720,0.8927,35.5
32725,0.8927,35.3
32739,0.8927,36.2
32803,0.8854,42.0
32811,0.878,39.9
32821,0.8634,38.8
32827,0.8561,38.4
32835,0.8707,34.5
32855,0.8707,28.1
32870,0.8634,25.0
32893,0.9634,17.3
32902,0.978,17.7
32908,0.9927,16.9
32954,0.9927,15.1
32962,1.0073,15.1
33062,0.9146,24.1
33068,0.9146,24.1
33076,0.9146,24.1
33084,0.922,22.9
33089,0.922,21.9
33122,0.9146,22.9
33137,0.9146,23.5
33163,0.9073,25.5
33190,0.9073,23.6
33200,0.9,23.8
33207,1.0073,14.5
33214,1.022,14.6
33222,1.0073,14.6
33230,0.9927,14.6
33283,1.0,19.4
33293,1.0,17.1
33313,0.9927,17.6
33319,1.0,15.6
33327,1.0,13.7
33342,1.0,14.2
33347,0.9854,14.0
33355,0.9854,14.1
33376,0.9854,15.4
33436,0.9927,20.6
33461,0.9854,17.8
33466,0.9854,17.3
33493,0.9854,18.0
33513,0.978,19.4
33545,0.978,21.8
33557,0.9854,21.5
33587,0.9927,24.0
33623,0.9854,26.8
33632,1.0,25.6
33706,1.0,27.0
33714,1.0146,25.3
33814,0.9293,34.8
33825,0.9366,33.2
33849,0.9366,33.6
33856,0.9439,31.1
33862,0.9293,30.5
33870,0.9366,28.3
33884,0.9293,26.1
33897,0.9146,26.5
33935,0.9146,22.9
34035,0.8073,32.1
34044,0.8927,23.0
34050,0.8927,22.5
34059,0.8854,21.0
34069,0.8707,21.3
34089,0.8854,22.7
34099,0.8854,22.9
34105,0.9,22.1
34117,0.9146,22.0
34126,0.922,19.1
34133,1.0293,9.8
34161,1.0366,11.7
34172,1.0366,12.2
34202,1.0439,14.3
34225,1.0586,15.6
34236,1.0586,14.7
34252,1.0586,15.3
34290,1.0513,18.5
34377,0.8263,26.0
34386,0.8116,26.0
34392,0.8116,25.9
34399,0.8189,23.8
34408,0.8189,23.6
34418,0.5939,21.6
34425,0.5793,20.0
34438,0.5793,20.2
34463,0.572,21.1
34475,0.5793,18.5
34483,0.7896,10.6
34493,0.7896,10.7
34510,0.775,11.8
34519,0.775,12.0
34526,0.775,11.8
34537,1.0073,11.9
34571,0.797,14.6
34579,0.7823,14.1
34603,0.7823,14.0
34615,0.7823,14.0
34621,0.797,13.8
34629,0.8116,13.6
34635,0.8263,12.5
34646,0.8116,12.7
34652,0.797,12.6
34660,0.7823,12.3
34668,1.0073,9.7
34683,1.0146,10.4
34689,1.022,8.6
34698,1.0073,8.3
34705,1.0073,8.4
34717,1.0073,8.8
34802,1.0,16.7
34811,1.0,16.5
34821,1.0146,16.9
34836,1.022,17.6
34848,1.0073,18.0
34855,1.0146,17.2
34864,1.0146,17.5
34874,1.022,17.6
34883,1.0073,17.8
34942,1.0,22.5
34952,1.0,15.0
34962,1.0,15.1
34968,0.9854,14.7
34977,0.978,14.1
34988,0.9854,14.0
35000,0.978,14.5
35009,0.9634,14.5
35018,0.9707,14.4
35027,0.9854,14.4
35036,0.9927,9.4
35069,0.9927,11.7
35075,1.0073,11.3
35141,1.0146,17.3
35148,1.0146,17.1
35154,1.0073,16.6
35162,1.0,16.2
35168,1.0146,15.9
35179,0.7896,16.1
35190,0.7823,16.3
35220,0.775,18.4
35226,0.7677,15.7
35232,0.7677,15.7
35238,0.775,9.7
35244,0.7896,9.6
35253,0.8043,9.9
35259,0.8189,9.7
35265,0.8189,9.7
35271,1.0439,9.2
35279,1.0439,8.9
35286,1.0513,6.6
35319,1.0586,9.3
35339,1.0513,10.7
35379,1.0439,14.1
35386,1.0293,14.2
35437,1.022,18.4
35451,1.0146,19.2
35457,1.0146,19.2
35464,1.0,19.3
35470,1.0073,19.1
35477,1.0073,19.1
35526,1.0073,20.7
35534,1.0146,19.5
35556,0.797,17.7
35578,0.8043,19.2
35586,0.8116,14.9
35612,0.8116,16.1
35623,0.8116,16.6
35633,0.8263,16.9
35643,0.6013,17.3
35706,0.5866,22.9
35711,0.5793,18.5
35717,0.5646,18.3
35797,0.7823,24.1
35803,0.775,22.5
35810,0.775,22.4
35817,0.7823,20.5
35824,0.7823,20.1
35835,0.7677,20.2
35842,0.978,19.9
35848,0.9927,14.2
35868,0.9927,15.7
35892,0.9927,17.5
35907,0.9854,11.0
35923,0.7677,12.0
35931,0.753,12.1
35952,0.7457,13.5
35967,0.7311,14.3
35979,0.7384,14.4
36036,0.7457,19.4
36043,0.7457,19.5
36050,0.7457,18.2
36056,0.7604,16.4
36062,0.775,15.5
36162,0.9073,23.9
36172,0.922,24.1
36181,0.9293,22.9
36188,0.9439,22.1
36194,0.9366,21.5
36205,0.9293,16.9
36238,0.922,19.5
36247,0.9366,19.7
36264,0.9293,20.8
36271,0.9146,20.9
36277,1.0146,11.5
36283,1.0146,11.1
36293,1.0,11.2
36299,1.0,11.1
36307,1.0073,11.3
36314,1.0073,10.9
36323,1.0073,8.5
36330,0.9927,8.3
36337,1.0,7.3
36401,1.0073,13.0
36411,0.9927,13.4
36416,0.978,13.3
36422,0.978,12.9
36428,0.9634,12.9
36452,0.9634,14.5
36462,0.9634,14.8
36472,0.9707,14.9
36496,0.978,16.6
36504,0.9634,16.7
36510,0.9707,10.9
36523,0.9707,11.2
36532,0.978,11.6
36541,0.9927,11.9
36547,1.0073,11.9
36553,1.0146,10.1
36601,1.022,13.9
36613,1.0073,14.1
36625,1.0073,12.9
36648,1.0146,14.4
36707,1.0073,19.7
36738,1.0146,21.5
36746,1.022,21.4
36755,1.0073,21.4
36761,1.0073,21.4
36789,0.9927,23.6
36795,1.0,19.4
36807,1.0073,19.4
36819,1.0,19.4
36825,1.0073,17.7
36835,1.0073,12.8
36840,1.0,10.2
36846,0.9854,10.0
36867,0.9927,11.2
36875,0.9854,11.4
36887,0.9927,9.8
36895,0.978,10.0
36903,0.9707,9.6
36913,0.978,9.4
36927,0.978,10.2
36933,0.9707,9.8
36941,0.9854,10.1
36963,0.9927,11.7
36985,0.9927,11.8
36992,0.9854,11.7
36997,0.978,11.0
37002,0.978,10.7
37019,0.9854,11.6
37027,0.978,11.4
37036,0.978,10.9
37047,0.9854,11.4
37060,0.978,11.9
37068,0.9854,10.5
37074,0.9927,8.9
37085,1.0,9.3
37090,1.0,9.3
37127,1.0,12.5
