timesteps,ep_rew_mean,ep_len_mean
28824,0.9455,15.5
28838,0.9448,15.7
28851,0.955,12.8
28863,0.9554,12.7
28878,0.9546,12.9
28890,0.955,12.8
28903,0.9546,12.9
28915,0.955,12.8
28928,0.9546,12.9
28940,0.955,12.8
28953,0.9546,12.9
28965,0.9554,12.7
28977,0.9557,12.6
28991,0.955,12.8
29003,0.9561,12.5
29017,0.9554,12.7
29032,0.9546,12.9
29044,0.9546,12.9
29056,0.955,12.8
29068,0.955,12.8
29080,0.9554,12.7
29096,0.9539,13.1
29108,0.9539,13.1
29121,0.9543,13.0
29136,0.9532,13.3
29148,0.9539,13.1
29160,0.955,12.8
29172,0.955,12.8
29184,0.955,12.8
29199,0.9539,13.1
29212,0.9536,13.2
29224,0.955,12.8
29236,0.955,12.8
29248,0.9554,12.7
29262,0.9557,12.6
29275,0.9554,12.7
29289,0.9546,12.9
29302,0.9543,13.0
29314,0.9543,13.0
29328,0.9546,12.9
29341,0.9546,12.9
29354,0.9543,13.0
29366,0.9543,13.0
29378,0.9543,13.0
29391,0.9546,12.9
29403,0.955,12.8
29417,0.955,12.8
29429,0.9554,12.7
29441,0.9554,12.7
29453,0.9561,12.5
29465,0.9564,12.4
29477,0.9568,12.3
29489,0.9568,12.3
29501,0.9568,12.3
29513,0.9571,12.2
29525,0.9571,12.2
29537,0.9578,12.0
29549,0.9578,12.0
29563,0.9571,12.2
29576,0.9568,12.3
29588,0.9568,12.3
29600,0.9568,12.3
29612,0.9568,12.3
29627,0.9557,12.6
29639,0.9557,12.6
29651,0.9557,12.6
29663,0.9557,12.6
29676,0.9554,12.7
29689,0.9557,12.6
29702,0.9557,12.6
29716,0.955,12.8
29729,0.9546,12.9
29741,0.9546,12.9
29753,0.9557,12.6
29765,0.9557,12.6
29778,0.9554,12.7
29790,0.9554,12.7
29803,0.9554,12.7
29816,0.9554,12.7
29831,0.9546,12.9
29847,0.9539,13.1
29859,0.9543,13.0
29871,0.9543,13.0
29883,0.9543,13.0
29895,0.9543,13.0
29907,0.9546,12.9
29919,0.9546,12.9
29932,0.9546,12.9
29945,0.9546,12.9
29958,0.9554,12.7
29972,0.9561,12.5
29985,0.9557,12.6
29997,0.9557,12.6
30010,0.9554,12.7
30022,0.9554,12.7
30036,0.9546,12.9
30048,0.9546,12.9
30061,0.9546,12.9
30074,0.9546,12.9
30086,0.955,12.8
30098,0.9557,12.6
30112,0.9554,12.7
30124,0.9554,12.7
30136,0.9557,12.6
30148,0.9557,12.6
30161,0.9561,12.5
30173,0.9561,12.5
30186,0.9561,12.5
30198,0.9564,12.4
30210,0.9564,12.4
30223,0.9561,12.5
30235,0.9568,12.3
30248,0.9564,12.4
30260,0.9564,12.4
30273,0.9561,12.5
30287,0.9557,12.6
30299,0.9557,12.6
