timesteps,ep_rew_mean,ep_len_mean
8105,0.3262,13.7
8106,0.3262,13.7
8113,0.3262,10.2
8114,0.3262,9.5
8132,0.3262,9.5
8140,0.419,10.2
8175,0.4055,11.7
8193,0.41,11.2
8271,0.4398,18.9
8283,0.4398,19.9
8303,0.4407,19.8
8309,0.5353,20.3
8333,0.6137,22.0
8346,0.702,23.2
8347,0.6182,21.5
8357,0.6164,21.7
8358,0.5479,18.3
8374,0.4641,18.1
8375,0.4343,10.4
8395,0.4343,11.2
8397,0.3523,9.4
8398,0.2577,8.9
8406,0.1793,7.3
8440,0.091,9.4
8448,0.1838,10.1
8449,0.0928,9.2
8450,0.0928,9.2
8451,0.0928,7.7
8474,0.0928,9.9
8475,0.0928,8.0
8516,0.1559,11.9
8532,0.2415,13.4
8546,0.3289,14.0
8550,0.3289,11.0
8553,0.2361,10.5
8575,0.3163,12.6
8582,0.41,13.2
8598,0.4956,14.7
8600,0.4956,12.6
8601,0.4956,12.6
8613,0.5217,9.7
8625,0.5253,9.3
8640,0.5244,9.4
8642,0.5244,9.2
8643,0.5244,9.0
8656,0.4442,8.1
8657,0.3505,7.5
8659,0.2649,6.1
8662,0.2649,6.2
8674,0.3541,7.3
8693,0.3478,8.0
8720,0.2586,9.5
8724,0.1721,8.4
8732,0.2649,9.0
8744,0.3541,10.1
8752,0.4469,9.6
8764,0.5361,10.7
8766,0.5361,10.7
8770,0.5361,10.8
8778,0.5397,10.4
8796,0.5406,10.3
8814,0.5406,9.4
8819,0.6361,9.5
8822,0.5433,9.0
8828,0.4541,8.4
8839,0.4514,8.7
8841,0.3622,7.7
8888,0.4199,12.2
8893,0.4199,12.3
8894,0.3271,11.6
8901,0.337,10.5
8902,0.337,8.8
8904,0.2415,8.5
8905,0.2415,8.3
8915,0.3325,8.7
8947,0.3136,10.8
8950,0.3136,10.9
8951,0.2559,6.3
8975,0.3343,8.2
8981,0.3343,8.7
8997,0.3262,9.6
9021,0.3262,11.9
9022,0.3262,11.8
9031,0.4181,12.6
9052,0.3271,13.7
9054,0.2559,10.7
9076,0.2559,12.6
9103,0.2559,15.2
9119,0.1775,14.4
9122,0.1775,14.1
9133,0.182,13.6
9143,0.273,12.2
9145,0.273,12.3
9148,0.1811,11.7
9151,0.1811,9.9
9167,0.1811,11.3
9171,0.1811,9.5
9174,0.1811,7.1
9182,0.1811,6.3
9183,0.1811,6.1
9194,0.091,6.1
9223,0.0739,8.0
9230,0.0739,8.5
9240,0.1649,9.2
9253,0.2532,10.2
9261,0.346,9.4
9262,0.346,9.1
9264,0.346,9.0
9269,0.4415,8.7
9289,0.5235,10.6
9295,0.6181,10.1
9297,0.5442,7.4
9308,0.5442,7.8
9320,0.4532,8.0
9322,0.3649,6.9
9324,0.2721,6.3
9340,0.3577,7.8
9350,0.4487,8.6
9352,0.3532,8.3
9364,0.3604,7.5
9374,0.3568,7.9
9376,0.3568,7.9
9383,0.4505,7.5
9384,0.4505,6.4
9401,0.5352,7.9
9414,0.6235,9.0
9444,0.6109,10.4
9481,0.5866,13.1
9482,0.5866,13.0
9492,0.4974,12.8
9497,0.4064,12.3
9502,0.4064,12.6
9510,0.4055,12.7
9519,0.4974,13.5
9523,0.4127,12.2
9526,0.3244,11.2
9530,0.2514,8.6
9571,0.2478,9.0
9585,0.3352,10.3
9602,0.4199,11.0
9610,0.5127,11.3
9623,0.601,12.1
9644,0.5893,13.4
9675,0.4974,15.6
9692,0.5821,16.9
9693,0.5821,16.7
9702,0.674,17.2
9724,0.6911,15.3
9725,0.6037,14.0
9726,0.519,12.4
9734,0.519,12.4
9740,0.4307,11.7
9742,0.3496,9.8
9743,0.3496,6.8
9753,0.3559,6.1
9758,0.3559,6.5
9759,0.264,5.7
9760,0.1838,3.6
9774,0.1838,4.9
9776,0.1838,5.0
9777,0.091,4.3
9783,0.091,4.3
9785,0.091,4.3
9807,0.1712,6.4
9815,0.173,6.2
9818,0.173,6.0
9819,0.173,6.0
9839,0.173,7.9
9840,0.173,6.6
9847,0.173,7.1
9853,0.2676,7.6
9854,0.2676,7.1
9860,0.3622,7.5
9880,0.364,7.3
9888,0.2712,7.3
9904,0.3568,8.6
9912,0.3568,9.3
9913,0.3568,7.4
9934,0.3568,9.4
9938,0.3568,9.1
9987,0.2622,13.4
9999,0.2622,14.5
10002,0.1676,14.2
10029,0.0856,14.9
10031,0.0856,14.3
10053,0.0802,14.9
10054,0.0802,14.2
10056,0.0802,14.3
10073,0.1649,13.9
10089,0.2505,15.1
10101,0.3397,11.4
10117,0.4253,11.8
10128,0.4253,12.6
10130,0.4253,10.1
10131,0.4253,10.0
10132,0.3451,7.9
10134,0.3451,8.0
10161,0.3451,10.5
10174,0.3487,10.1
10189,0.3496,10.0
10193,0.2604,9.2
10194,0.1748,7.7
10196,0.1748,6.8
10197,0.1748,6.7
10199,0.1748,6.8
10200,0.1748,6.8
10204,0.1748,7.0
10213,0.2667,5.2
10238,0.2559,6.4
10240,0.1694,5.1
10279,0.1694,8.6
10289,0.2604,9.5
10290,0.2604,9.4
10294,0.2604,9.7
10302,0.3532,10.3
10304,0.3532,10.4
10312,0.446,10.8
10321,0.446,10.8
10322,0.3685,8.4
10328,0.3685,8.8
10351,0.3685,7.2
10358,0.2775,6.9
10415,0.2775,12.5
10472,0.2775,17.8
10474,0.1847,17.2
10478,0.1847,17.4
10488,0.1829,17.6
10497,0.091,17.6
10518,0.1721,19.6
10539,0.2532,21.1
10559,0.2532,20.8
10572,0.3415,21.4
10580,0.4343,16.5
10584,0.4343,11.2
10586,0.4343,11.2
10593,0.4343,11.5
10600,0.437,11.2
10611,0.437,11.4
10619,0.4487,10.1
10626,0.4613,8.7
10627,0.4613,6.8
10634,0.4667,6.2
10635,0.3739,5.5
10636,0.3739,5.2
10645,0.3739,5.9
10646,0.3739,5.3
10663,0.2802,6.3
10667,0.2802,5.6
10668,0.1874,4.9
10697,0.1676,7.1
10709,0.2568,8.2
10711,0.1631,7.7
10712,0.1631,7.7
10719,0.1631,8.3
10720,0.1631,7.5
10732,0.2523,8.6
10733,0.2523,7.0
10734,0.2523,6.7
10748,0.3397,8.0
10751,0.2658,5.4
10752,0.1766,4.3
10763,0.1766,5.2
10766,0.1766,5.4
10768,0.1766,4.9
10770,0.1766,5.0
10781,0.1775,4.9
10786,0.1775,5.3
10820,0.1775,8.6
10834,0.1775,8.6
10848,0.2649,9.7
10875,0.3406,12.3
10878,0.3406,11.5
10879,0.3406,11.3
10880,0.3406,11.2
10888,0.4334,11.8
10898,0.4343,11.7
10913,0.5208,12.7
10920,0.5208,10.0
10928,0.5262,9.4
10935,0.4388,8.7
10961,0.3631,8.6
10963,0.3631,8.5
10970,0.3631,9.1
10971,0.3631,9.1
10977,0.3649,8.9
10986,0.3658,8.8
10994,0.3721,8.1
10998,0.3721,7.8
10999,0.2793,7.1
11001,0.2793,6.6
11006,0.3748,4.5
11016,0.3748,5.3
11037,0.4559,6.7
11041,0.4559,7.0
11043,0.3613,6.6
11062,0.3523,7.6
11068,0.3541,7.4
11088,0.3541,9.0
11091,0.3541,9.2
11092,0.3541,9.1
11101,0.3505,9.5
11110,0.4424,9.4
11111,0.3613,7.4
11114,0.3613,7.3
11116,0.3613,7.3
11117,0.2784,5.5
11119,0.1838,5.1
11120,0.1838,3.2
11122,0.1838,3.1
11130,0.1838,3.8
11132,0.0919,3.1
11134,0.0,2.4
11138,0.0,2.7
11139,0.0,2.5
11140,0.0,2.4
11144,0.0,2.7
11190,0.0,7.1
11193,0.0,7.3
11212,0.0,9.0
11221,0.0919,9.1
11228,0.1856,9.6
11229,0.1856,9.5
11233,0.1856,9.5
11235,0.1856,9.6
11237,0.1856,9.7
11238,0.1856,9.4
11239,0.1856,4.9
11247,0.2784,5.4
11248,0.2784,3.6
11255,0.2802,3.4
11262,0.2802,3.4
11263,0.2802,3.4
11274,0.3703,4.1
11276,0.3703,4.1
11277,0.3703,4.0
11278,0.3703,4.0
11290,0.4595,5.1
11291,0.3667,4.4
11302,0.3667,5.4
11303,0.273,4.8
11304,0.1793,4.2
11307,0.1793,4.4
11314,0.1829,4.0
11316,0.1829,4.0
11317,0.1829,4.0
11318,0.1829,4.0
11327,0.1856,3.7
11333,0.2802,4.2
11360,0.2802,5.8
11361,0.2802,5.8
11367,0.3748,6.3
11383,0.4604,7.6
11390,0.3667,7.6
11391,0.3667,7.5
11393,0.3667,7.6
11426,0.3667,10.8
11439,0.2748,11.2
11441,0.1802,10.8
11461,0.2622,10.1
11472,0.3523,11.1
11484,0.2577,11.7
11497,0.2604,11.4
11506,0.3523,11.6
11515,0.3523,12.4
11577,0.3523,18.4
11578,0.3523,15.2
11595,0.437,15.6
11602,0.5307,16.1
11604,0.4487,14.3
11610,0.3586,13.8
11625,0.3586,14.1
11636,0.3604,13.9
11646,0.3595,14.0
11651,0.3595,13.6
11659,0.4523,8.2
11662,0.4523,8.4
11668,0.4622,7.3
11690,0.3685,8.8
11692,0.3685,8.8
11693,0.3685,8.3
11701,0.4613,7.6
11731,0.3712,9.5
11735,0.2802,8.9
11743,0.2802,9.2
11744,0.1874,8.5
11745,0.1874,8.3
11747,0.0928,7.9
11748,0.0928,5.8
11775,0.0928,8.3
11784,0.1847,9.1
11793,0.1838,9.2
11798,0.1838,6.7
11805,0.2775,7.0
11815,0.3685,7.2
11825,0.4595,8.1
11827,0.4595,8.2
11834,0.4595,8.7
11835,0.4595,8.7
11837,0.4595,6.2
11848,0.4577,6.4
11863,0.3658,7.0
11868,0.3658,7.0
11869,0.2721,6.4
11880,0.1811,6.5
11881,0.0901,5.6
11882,0.0901,5.5
11887,0.0901,5.3
11903,0.0901,6.8
11912,0.0901,7.5
11913,0.0,6.5
11915,0.0,5.2
11924,0.0919,5.6
11931,0.1856,6.2
11939,0.2784,5.9
11968,0.2784,8.7
11969,0.2784,8.7
11984,0.2784,9.7
11995,0.2784,9.2
11997,0.2784,8.5
11998,0.2784,8.5
12006,0.3712,9.1
12015,0.3712,9.1
12063,0.2775,13.2
12066,0.1847,12.7
12097,0.1847,12.9
12098,0.1847,12.9
12105,0.2784,12.1
12108,0.2784,11.3
12111,0.2784,11.4
12125,0.3658,12.7
12149,0.273,14.3
12152,0.1811,13.7
12168,0.2667,10.5
12177,0.3586,11.1
12178,0.3586,8.1
12181,0.3586,8.3
12182,0.2649,7.7
12211,0.2649,10.3
12240,0.2649,12.9
12246,0.2721,12.1
12251,0.2721,10.2
12261,0.2721,10.9
12270,0.2784,10.2
12271,0.1865,9.4
12280,0.2784,10.2
12291,0.3685,11.0
12298,0.3685,11.6
12305,0.3685,9.4
12307,0.3685,6.7
12319,0.2739,7.3
12351,0.2739,10.0
12352,0.2739,9.1
12354,0.182,8.4
12358,0.182,8.7
12385,0.0901,10.5
12393,0.0928,10.2
12419,0.0928,12.1
12427,0.1856,12.2
12468,0.1856,16.1
12481,0.2739,16.2
12489,0.3667,13.8
12522,0.3667,17.0
12537,0.3667,18.3
12543,0.4613,18.5
12547,0.4613,16.2
12554,0.4622,16.1
12555,0.4622,13.6
12596,0.3694,16.9
12603,0.4631,13.5
12608,0.4703,12.7
12628,0.4595,13.9
12634,0.4595,11.2
12674,0.4595,13.7
12675,0.3649,13.2
12739,0.3649,19.2
12742,0.2712,18.8
12773,0.2712,21.8
12779,0.2712,18.3
12780,0.1775,17.7
12781,0.082,17.3
12809,0.0,18.1
12815,0.0946,18.1
12821,0.1892,14.7
12830,0.2811,15.5
12831,0.2811,9.2
12832,0.2811,9.0
12881,0.2811,10.8
12885,0.2811,10.6
12886,0.2811,10.6
12908,0.3613,12.7
12924,0.4469,11.5
12932,0.3523,11.7
12937,0.2577,11.6
12976,0.1658,14.6
12977,0.1658,14.6
12978,0.1658,14.6
12980,0.1658,9.9
12987,0.1658,10.2
13050,0.1658,16.4
13057,0.1793,14.9
13075,0.0937,15.1
13077,0.0937,14.5
13084,0.0937,14.7
13091,0.1874,11.5
13093,0.1874,11.6
13100,0.2811,12.2
13103,0.2811,12.3
13105,0.2811,11.8
13114,0.373,6.4
13125,0.3694,6.8
13147,0.3694,7.2
13148,0.3694,7.1
13155,0.4631,7.1
13157,0.3694,6.6
13164,0.4631,7.1
13170,0.3694,7.0
13174,0.3694,7.1
13188,0.4568,8.3
13194,0.4595,8.0
13196,0.3694,7.1
13204,0.4622,5.7
13208,0.4622,6.0
13209,0.3685,5.4
13212,0.3685,5.5
13225,0.2748,6.1
13236,0.2748,6.6
13245,0.3667,7.1
13246,0.2793,5.8
13272,0.1847,7.8
13284,0.2739,8.8
13294,0.2721,9.0
13304,0.2721,9.6
13337,0.2721,12.8
13340,0.2721,12.8
13371,0.2721,14.6
13372,0.2721,13.6
13380,0.1802,13.5
13385,0.1802,13.9
13408,0.2595,13.6
13424,0.1703,14.0
13431,0.173,13.7
13433,0.173,12.9
13436,0.173,9.9
13441,0.2685,10.1
13454,0.2685,8.3
13461,0.2685,8.9
13479,0.3523,9.9
13488,0.4442,10.3
13505,0.3649,9.7
13507,0.3649,8.3
13508,0.2712,7.7
13539,0.2712,10.6
13545,0.3658,10.9
13550,0.2703,10.9
13558,0.3631,10.4
13608,0.3631,14.7
13615,0.2793,13.6
13624,0.1874,13.6
13635,0.2775,13.0
13636,0.2775,12.9
13646,0.2775,13.8
13647,0.2775,10.8
13657,0.2739,11.2
13671,0.3613,12.1
13684,0.2685,12.6
13685,0.2685,7.7
13734,0.2685,11.9
13740,0.3631,11.6
13741,0.273,10.6
13749,0.3658,11.3
13758,0.4577,11.2
13764,0.5523,11.7
13769,0.4613,11.2
13774,0.4694,10.3
13797,0.4694,11.3
13802,0.5649,11.7
13811,0.6568,7.7
13821,0.6532,8.1
13823,0.6532,8.2
13826,0.5604,7.7
13836,0.5595,7.8
13845,0.4649,8.1
13846,0.4649,7.7
13853,0.4631,7.9
13862,0.4631,6.5
13869,0.3676,6.7
13870,0.2757,5.9
13905,0.1847,8.4
13912,0.1847,8.9
13917,0.1847,9.1
13927,0.1847,9.1
13932,0.2802,8.7
13940,0.373,9.4
13948,0.3721,9.5
13955,0.4658,9.3
13964,0.5577,9.5
13987,0.5577,11.7
13997,0.5577,9.2
14000,0.5577,8.8
14001,0.5577,8.4
14006,0.5622,7.9
14010,0.4667,7.8
14016,0.4685,7.6
14021,0.3757,7.3
14025,0.282,7.0
14028,0.1901,6.4
14039,0.2802,5.2
14047,0.373,5.0
14048,0.373,4.8
14050,0.373,4.9
14051,0.2775,4.5
14056,0.373,4.6
14059,0.2784,4.3
14072,0.3667,5.1
14074,0.3667,4.9
14076,0.3667,4.8
14078,0.2766,3.9
14086,0.2766,3.9
14090,0.2766,4.2
14105,0.3631,5.5
14118,0.3631,6.7
14125,0.3613,6.9
14135,0.3613,7.6
14136,0.273,6.4
14142,0.273,6.8
14148,0.273,7.2
14163,0.3595,8.5
14170,0.3604,8.4
14171,0.3604,8.1
14173,0.2739,6.8
14179,0.3685,6.1
14193,0.3622,6.8
14204,0.4523,6.9
14206,0.4523,7.0
14217,0.5424,7.5
14250,0.5424,10.2
14251,0.4559,8.8
14279,0.3622,10.9
14297,0.446,12.6
14304,0.5397,13.1
14307,0.4451,12.8
14312,0.4532,11.9
14316,0.3631,11.2
14320,0.3631,11.4
14321,0.273,10.4
14324,0.273,7.4
14370,0.273,11.9
14372,0.273,9.3
14389,0.1892,9.2
14445,0.0955,14.1
14446,0.0955,13.9
14451,0.0,13.9
14460,0.0919,14.4
14463,0.0919,14.3
14470,0.1856,14.9
14471,0.1856,14.7
14478,0.2793,10.8
14487,0.3712,11.5
14494,0.4649,10.5
14505,0.555,6.0
14518,0.6433,7.2
14524,0.7379,7.3
14530,0.7406,7.0
14532,0.7406,6.9
14544,0.7361,7.4
14615,0.7361,14.4
14666,0.6424,18.8
14667,0.5505,18.0
14673,0.5514,17.9
14674,0.4613,16.9
14679,0.373,16.1
14773,0.2784,24.9
14792,0.1838,26.2
14795,0.1838,26.3
14797,0.0946,25.3
14808,0.0946,19.3
14848,0.0946,18.2
14849,0.0946,18.2
14850,0.0,17.7
14851,0.0,17.7
14878,0.0,19.9
14881,0.0,10.8
14887,0.0,9.5
14895,0.0,10.0
14902,0.0,10.5
14911,0.0,10.3
14919,0.0928,7.1
14928,0.1847,7.9
14938,0.2757,8.8
14943,0.3712,9.2
14950,0.3712,7.2
14951,0.3712,7.0
14952,0.3712,6.5
14982,0.3712,8.7
14988,0.4658,8.6
15006,0.5496,9.5
15018,0.4568,9.9
15086,0.3649,15.8
15132,0.3325,19.4
15154,0.237,21.1
15163,0.3289,21.3
15192,0.3289,24.1
15193,0.3289,24.1
